,ARC_L,ARC_R,ATR_L,ATR_R,AntFrontal,CGC_L,CGC_R,CST_L,CST_R,IFO_L,IFO_R,ILF_L,ILF_R,Motor,Occipital,Orbital,PostParietal,SLF_L,SupFrontal,SupParietal,Temporal,UNC_L,UNC_R
102109,0.4282218627359759,0.39795084390009977,0.35792121067895977,0.37075946723326064,0.41875157307274924,0.4272961391663616,0.3951282422942078,0.40642683169107996,0.407281161602961,0.3728045936127408,0.3920337708003163,0.357770374415222,0.3700874280402393,0.4105752535456684,0.4348020473399202,0.4190399815731209,0.41999555707721875,0.41398898735098727,0.41232703099323,0.40906645862131186,0.39825085561716606,0.31723631144602765,0.32777257931715353
102311,0.4121864204867583,0.40127943818223544,0.36966016827341563,0.36545238213664744,0.4193468287028447,0.3986901107117296,0.39217473444414286,0.41896610014401026,0.40754570501658954,0.38811139958351737,0.37995718982989934,0.3725216453968112,0.37493323591959826,0.3975911010470141,0.43867487995058324,0.41170457673246474,0.41991297331347105,0.3996541551723483,0.4106303515514128,0.3987895520247971,0.40942727573683385,0.31690075189899614,0.3204562866009442
102513,0.4038924268806749,0.38576862982718313,0.3581809479479427,0.36249093070688915,0.4038124894361972,0.3891850866015233,0.37173314153233,0.40689642234099305,0.4007149395982399,0.3681382814154663,0.37043432251876124,0.3435494105818613,0.352947198731038,0.4203625714061516,0.4300120384460934,0.394654541492078,0.399337383878659,0.3857867962434191,0.4033085948849194,0.4056604685010138,0.40376937806157637,0.3058281292789896,0.31439362210681304
102614,0.39259746323855443,0.3933140095788093,0.3712043782903227,0.3603552331690327,0.3991970761064065,0.36516763784172085,0.3755656588061125,0.42529460415751835,0.42838507495893197,0.39767642823872734,0.3828410390406885,0.3684593530378092,0.3574914709742253,0.3903450820421986,0.4276611411987104,0.40584631952533184,0.4156843782318644,0.3741146429947865,0.3945730326839548,0.39343110296110617,0.4019366768606472,0.34307228264669937,0.32611697244680643
102715,0.4076769289421012,0.3671264098439029,0.3548186052515594,0.35064704803712,0.39814250721307315,0.39064539588677627,0.35990301189026364,0.4059797928316746,0.4099323800136866,0.3601671782024741,0.3798963919760346,0.3348298637008217,0.346043730162921,0.39205364035311113,0.399243743934679,0.39306693406413606,0.38164151971050636,0.3968451111257443,0.3798449061991663,0.38763874196598247,0.358026891366305,0.3282652854898307,0.33873605085322916
102816,0.3990652905368013,0.38036664255722863,0.3699692023901239,0.3615369005065642,0.39707914824130586,0.37363225840729797,0.37709831082129214,0.4147382981508856,0.4154553377386481,0.3852480696158277,0.3769806453579067,0.3634104146880324,0.35718631702816545,0.40260182177137344,0.4362759883961265,0.3722108853893026,0.4234474953728698,0.3851969752066756,0.39799698981554193,0.4094367296558375,0.40524940180320085,0.30685030302715616,0.2976983315583125
103010,0.3918017109911288,0.38458185509227333,0.35776746079845784,0.34054650743654435,0.3892971569388904,0.3762084516905112,0.3632359077883839,0.40230570928073656,0.4052589624444121,0.3723338751547381,0.3508862239238632,0.34661031180775764,0.3430172947644947,0.3929847984179263,0.4058752017795453,0.37272350218794664,0.3831840873461319,0.37475001707131306,0.3857993462208297,0.38016045700540113,0.3722319303413204,0.29968314665591533,0.3098667222429949
103111,0.3819211450743951,0.3758989215042758,0.3543845863572412,0.3461643584182149,0.37048715348195044,0.3771776938873054,0.3821950152209163,0.40250960810813197,0.4015874906772041,0.36386644766066695,0.34810354415636874,0.349647344391141,0.34357095927682557,0.40114229205247853,0.394384178212801,0.3650731673963613,0.39229876130592634,0.3864154133192721,0.391246300568824,0.3792530331195156,0.3844113863935512,0.31268990246290057,0.3222754035401774
103212,0.4190756757782784,0.38643588100558446,0.3684752985118321,0.3672530283032696,0.38623381475074114,0.4037957426179906,0.3744081430659284,0.41972516789442404,0.4222839423135047,0.3748772045126654,0.3636452438059685,0.3604985449556346,0.35903789969515826,0.40526941554062335,0.4185080739097911,0.37625023611271957,0.4120814402275612,0.407530428267999,0.39429418449245673,0.40490669731807827,0.3813011757792713,0.31235557552097803,0.32063148783955064
103414,0.41257727974153335,0.39100715432877964,0.3624781503970068,0.35706995785515333,0.37979966401768606,0.40498089274868193,0.3851383199358803,0.4115796010512426,0.4072504868277382,0.37002837675961425,0.3654506033438758,0.35976907959471,0.361744686157577,0.3983502438477966,0.43280490094615187,0.38122209730504636,0.4266223409836127,0.3997967701932749,0.3921106038236954,0.40767965242917775,0.3787753831629185,0.3092859623841995,0.3202415867830888
103515,0.43141490335701826,0.4030085316812513,0.3725233082547822,0.3814039679147205,0.4257493004638447,0.43011303650390303,0.4178748690315902,0.43484903829468685,0.42912376660310314,0.4059819225899868,0.4091477778050536,0.3791649577993271,0.385528446983713,0.41526414067872125,0.43807687038858467,0.40047752048927476,0.459853017013358,0.42291155987262113,0.43221920064450914,0.41542153097257406,0.39588648123135556,0.3561271440296745,0.35357468260407354
103818,0.3999230963475411,0.37068701183574665,0.3592343557724449,0.35344983953885417,0.39250266437175285,0.3905460862784356,0.382144998940293,0.41396830172149796,0.42187509211841706,0.3906147344504578,0.38707910603169055,0.37215870182185035,0.374140196771165,0.40762747838087243,0.42906871060605867,0.3790482643169472,0.41906663253959,0.38967849867661974,0.39304125226586334,0.4111675003627456,0.38858118157385724,0.3178047751028141,0.3218792057897602
104012,0.426675479995728,0.391343486746419,0.3587645094901039,0.3610080441042301,0.41062612572164686,0.4040113544511146,0.38141620236995893,0.41626035487354207,0.41829985004847337,0.39615557598086115,0.37130529838549486,0.3805278840769251,0.3699939766910645,0.3990986938461607,0.4277485821906966,0.39946874324776205,0.4151156721233806,0.42272801820279626,0.4063134419905946,0.40985544042582783,0.3802201713750343,0.3133882928815708,0.30462633291031116
104416,0.42223927208545803,0.3829826923726954,0.3593457510802495,0.36958332697861523,0.37964534656500804,0.3837177383960976,0.3714947472647731,0.4208970735428394,0.41718720093899564,0.36887865136607884,0.3739707108233298,0.35357148601748917,0.36104460269806893,0.3794641438636457,0.43362486629210645,0.37868847242955467,0.39644374819916633,0.40686713194458307,0.39009863049430665,0.39956008606554155,0.3899333930813382,0.3152846654830775,0.3213681527383105
104820,0.38716640129598656,0.3541189271178503,0.36787134197774923,0.352168747798012,0.36674560777547777,0.3848004833446557,0.37131920104737587,0.41671440948428384,0.4048590241482858,0.3710215250223516,0.3725825087942829,0.3472371225040872,0.35066345970559587,0.3836221534821116,0.39345733310570546,0.35294522146228224,0.38490447053925997,0.3722179007617058,0.375686318122653,0.3824925590385074,0.37365332486945957,0.30889330932492887,0.3377787808698647
105014,0.4270930108947058,0.4058015782755924,0.368939407421026,0.3700115499906954,0.428121506628537,0.4038445337477213,0.4036345330735706,0.42105312098230313,0.4189919155833957,0.4051283335531444,0.39800738213084463,0.3782237152655752,0.36710991594232595,0.4146307935449325,0.4461193579403745,0.41263610386173705,0.4523094459340087,0.40673947311104464,0.4191509509785781,0.42512468110807583,0.4172352820760944,0.3247056741527108,0.3122308609810201
105115,0.40574886519105946,0.39650842093204297,0.3596892010119218,0.36239545158992015,0.3915989936577035,0.4090485261548068,0.3962770520127525,0.4197320798869302,0.4128319494536632,0.3799228713477488,0.37293608603864037,0.3706658840765702,0.3721879405610814,0.38086241900508944,0.4333177279344419,0.36756024509466456,0.40788184470122196,0.391823002673759,0.39791678408183495,0.3943732159728268,0.3989906498352163,0.30990887115037025,0.3140756820427433
