,ARC_L,ARC_R,ATR_L,ATR_R,AntFrontal,CGC_L,CGC_R,CST_L,CST_R,IFO_L,IFO_R,ILF_L,ILF_R,Motor,Occipital,Orbital,PostParietal,SLF_L,SupFrontal,SupParietal,Temporal,UNC_L,UNC_R
102109,0.0008115073841417728,0.0008845404430891721,0.0009430592937661461,0.0008969849451386071,0.0008959705762207832,0.000856638398354381,0.0009050380079260179,0.0008757736787065729,0.0008886010447327867,0.0009429182706792354,0.0008534988962567742,0.0009523546829298926,0.0008898315389405393,0.0009075014652306691,0.000923418952224265,0.0008747703853565611,0.0008904673720283092,0.0008048190304431572,0.0008955876688083761,0.0009135486640639544,0.000957816460888728,0.000933642517581378,0.0008853526968932929
102311,0.0008142445787079125,0.0008507663106307458,0.0008320299728468409,0.0008979770390505249,0.0008834586041126556,0.0008358492379728755,0.0008845118025601728,0.000852088110694638,0.0008613162504133201,0.0009113750563001243,0.0009069031766845882,0.000926743205521657,0.000908583982301446,0.0009117697169692869,0.0008971153832989646,0.0008846191195844569,0.0008649490643049133,0.0008502940034532795,0.0008929180706424421,0.0008816945561552179,0.0009208627511852989,0.000958758456052792,0.0009440004649638802
102513,0.0008642498162043595,0.0008913901792013001,0.000940353187418204,0.0009473315960023143,0.0009444785272609244,0.0008896295706926267,0.0009254505336534488,0.0008998932003798282,0.0009040733027847371,0.0009658662887155796,0.0009366406241310176,0.0009846676819711252,0.0009526731144507678,0.0008993503705054121,0.0009411403815099441,0.0009283562166218493,0.0009396639960777163,0.0009158047391430036,0.0009241178750795016,0.0009075113505238269,0.000979778376309038,0.0010097447486625845,0.0009591386259128739
102614,0.0009033542440120344,0.0008710945405228801,0.0008968004721610972,0.0009563059651351817,0.0009478728565166571,0.0009602914415715478,0.0009351395296318698,0.0008804716563561481,0.0008665203790567456,0.0008986067632442492,0.000967633876714389,0.0009406182502388448,0.0009762631349736748,0.0009430410217968062,0.0009176154973102897,0.0008815832949242926,0.0009047066578203841,0.0009661247267434448,0.0009335945692942238,0.0009263585439171422,0.000967301138513801,0.0009632228837346218,0.000943207778744147
102715,0.000833970043004666,0.000946132457225253,0.0009393175378934599,0.0009724855604339728,0.0009282136323362211,0.0008997385143104564,0.0009664771917319317,0.0009090836479539172,0.0009039433419046066,0.0009841397106079542,0.000915744864904025,0.0010162750804213374,0.00098777854108308,0.0009354608843570698,0.0009955288383629267,0.000912749356058323,0.0009232367969589283,0.0008634287092139528,0.0009494986575204402,0.0009249795887199823,0.0010374666957892792,0.0010037047510294999,0.0009325467066771067
102816,0.0008641272079671803,0.0008469068657292993,0.0008429399603441969,0.0009033401019063074,0.0009370983410424889,0.0009094481938164642,0.0009115998483615091,0.0008542104000589638,0.0008571935026333369,0.000899871629268904,0.0009456680824227771,0.0009294111032079718,0.000956302513058958,0.0008934030129176283,0.0008863057161248259,0.0009091649941995817,0.0008764981429712339,0.0009027430740581639,0.0009147612972003179,0.0008805449415019551,0.0009423222734129801,0.000989537347802004,0.00100107832405413
103010,0.000909261887627274,0.0009231255101432651,0.0009143369277878828,0.0009758862407242088,0.0009837177939632884,0.0009664300932280819,0.0009562081649309651,0.0009101902415806169,0.0009148263298613306,0.0009438598381853987,0.0010084774290444595,0.00098998883324225,0.0010129055263569209,0.0009626786599196814,0.0009907978952567837,0.0009428809115698419,0.0009863354256511535,0.000977115330148247,0.0009579275392537536,0.0009873246188323202,0.00107845339663972,0.0010345377154553658,0.0009819526604830616
103111,0.0009113727728723299,0.0008740434325585734,0.0008358699642682327,0.0009464078327647131,0.000951218907380908,0.0008938064760132126,0.00088219853655124,0.0008783851536220449,0.0008652780325093699,0.0009124381178085436,0.0010166618944592893,0.0009442047513046667,0.0010136331519697078,0.0008829516769362033,0.0010259180979181946,0.0009389066100483132,0.0008867702901057528,0.0008830920874209769,0.0008813108996629229,0.0008866127681637618,0.0009690226240186548,0.0009835129894404204,0.000968621607423511
103212,0.0008180000674848038,0.0009141637647960087,0.0008958261507956064,0.0009523454235983371,0.0009276335611275909,0.0008686330651955894,0.0009148509890021809,0.0008642231454310812,0.0008789796008544171,0.0009134115193189809,0.0009264950183923742,0.000929866687909136,0.0009534110098037542,0.0008720130353439131,0.0008962864247355658,0.0008551524872072885,0.0008942799107215571,0.000869220188185678,0.0008950446755965541,0.0009171477644371491,0.0010113246736289756,0.0009627856257302946,0.000884197185392988
103414,0.0008159007578340592,0.0008829842503757222,0.000867971372668923,0.0009066064042705841,0.0009052963758813348,0.0008451792397106338,0.0008810717159434272,0.000860875776480544,0.0008824599801711134,0.0009178952528203221,0.0009305025482714111,0.0009147045771302488,0.0009293157060065429,0.0008999328009737759,0.0009085491656898842,0.0008860905547761859,0.0008662799205147227,0.00086042041292758,0.0008815731354114714,0.0008924354383696999,0.0009882186531864558,0.0009515950182209239,0.0009364602571389141
